law_p,Kernel,parametre,var_PNC
normal_0_0,gaussian,0.25,0.21163950507349602
normal_0_0,gaussian,0.5,0.19999800829889017
normal_0_0,gaussian,1.0,0.15017366843197177
normal_0_0,gaussian,2.0,0.09732861004587902
normal_0_0,gaussian,5.0,0.03046304286651469
normal_0_0,laplacian,0.25,0.026738121083531366
normal_0_0,laplacian,0.5,0.0648934581212457
normal_0_0,laplacian,1.0,0.11710756223269289
normal_0_0,laplacian,2.0,0.12323963315451908
normal_0_0,laplacian,5.0,0.07832675111775463
normal_0_10,gaussian,0.25,0.12491434704344254
normal_0_10,gaussian,0.5,0.143900337330276
normal_0_10,gaussian,1.0,0.17385212652671536
normal_0_10,gaussian,2.0,0.21040403693411072
normal_0_10,gaussian,5.0,0.20005265683340076
normal_0_10,laplacian,0.25,0.09766143128752984
normal_0_10,laplacian,0.5,0.11831508955877296
normal_0_10,laplacian,1.0,0.09851017433501709
normal_0_10,laplacian,2.0,0.07334658916537631
normal_0_10,laplacian,5.0,0.03595438832446285
normal_3_0,gaussian,0.25,0.22348986367592502
normal_3_0,gaussian,0.5,0.21441680560997903
normal_3_0,gaussian,1.0,0.14366078829326992
normal_3_0,gaussian,2.0,0.10518021890049878
normal_3_0,gaussian,5.0,0.03136858892462385
normal_3_0,laplacian,0.25,0.027252901600400243
normal_3_0,laplacian,0.5,0.06932962256081227
normal_3_0,laplacian,1.0,0.10547623634992888
normal_3_0,laplacian,2.0,0.1201165765371421
normal_3_0,laplacian,5.0,0.07836124317334002
normal_3_10,gaussian,0.25,0.12730130208011162
normal_3_10,gaussian,0.5,0.15361924327707546
normal_3_10,gaussian,1.0,0.1924055643133016
normal_3_10,gaussian,2.0,0.20633090318067007
normal_3_10,gaussian,5.0,0.19279760161696682
normal_3_10,laplacian,0.25,0.08882863443134624
normal_3_10,laplacian,0.5,0.1142884030061155
normal_3_10,laplacian,1.0,0.09247139384249227
normal_3_10,laplacian,2.0,0.071704649117449
normal_3_10,laplacian,5.0,0.029076733083622703
