MethMMD,Kernel,parametre,perturbation,size,mmd,time
MMDl,gaussian,0.25,same,10,0.3343071246969504,0.0005376338958740234
MMDl,gaussian,0.25,mu+1,10,0.5128866983167447,0.0004725456237792969
MMDl,gaussian,0.25,std*2,10,0.20295179898208088,0.0005033016204833984
MMDl,gaussian,0.25,unif_law,10,0.30825654657633567,0.0007708072662353516
MMDl,gaussian,0.5,same,10,0.3121418651585435,0.0004520416259765625
MMDl,gaussian,0.5,mu+1,10,0.564634991443468,0.0005259513854980469
MMDl,gaussian,0.5,std*2,10,0.32484711978380215,0.0005137920379638672
MMDl,gaussian,0.5,unif_law,10,0.3878105536454135,0.0004837512969970703
MMDl,gaussian,1.0,same,10,0.2674710765503807,0.0008654594421386719
MMDl,gaussian,1.0,mu+1,10,0.5718010188866083,0.0004818439483642578
MMDl,gaussian,1.0,std*2,10,0.37332264708353785,0.0004706382751464844
MMDl,gaussian,1.0,unif_law,10,0.4006841752051651,0.0004608631134033203
MMDl,gaussian,2.0,same,10,0.19564053109546808,0.0004668235778808594
MMDl,gaussian,2.0,mu+1,10,0.51424891154721,0.00047016143798828125
MMDl,gaussian,2.0,std*2,10,0.3150126573162833,0.0006549358367919922
MMDl,gaussian,2.0,unif_law,10,0.3371472692727351,0.00045299530029296875
MMDl,gaussian,5.0,same,10,0.10325619962175558,0.00046372413635253906
MMDl,gaussian,5.0,mu+1,10,0.33990896046533614,0.0004639625549316406
MMDl,gaussian,5.0,std*2,10,0.1615400841040108,0.00046133995056152344
MMDl,gaussian,5.0,unif_law,10,0.20044601717246663,0.00045299530029296875
MMDl,laplacian,0.25,same,10,0.12057052437303692,0.00037026405334472656
MMDl,laplacian,0.25,mu+1,10,0.2727706518347118,0.0003826618194580078
MMDl,laplacian,0.25,std*2,10,0.12935803373143145,0.0003840923309326172
MMDl,laplacian,0.25,unif_law,10,0.1638791925725446,0.0003676414489746094
MMDl,laplacian,0.5,same,10,0.19247924444261377,0.000370025634765625
MMDl,laplacian,0.5,mu+1,10,0.3860298663630618,0.00038504600524902344
MMDl,laplacian,0.5,std*2,10,0.19173613166233744,0.0003859996795654297
MMDl,laplacian,0.5,unif_law,10,0.2351298704208679,0.00036978721618652344
MMDl,laplacian,1.0,same,10,0.25977344054284435,0.0004405975341796875
MMDl,laplacian,1.0,mu+1,10,0.42789219146292484,0.00039386749267578125
MMDl,laplacian,1.0,std*2,10,0.20471390662158315,0.0004100799560546875
MMDl,laplacian,1.0,unif_law,10,0.2568804104022207,0.00044083595275878906
MMDl,laplacian,2.0,same,10,0.283097474956959,0.00038242340087890625
MMDl,laplacian,2.0,mu+1,10,0.35278629294968167,0.00039315223693847656
MMDl,laplacian,2.0,std*2,10,0.12183739306493482,0.00039386749267578125
MMDl,laplacian,2.0,unif_law,10,0.1854819847831814,0.00037932395935058594
MMDl,laplacian,5.0,same,10,0.22969796211873766,0.0003790855407714844
MMDl,laplacian,5.0,mu+1,10,0.16967606562629042,0.00039124488830566406
MMDl,laplacian,5.0,std*2,10,-0.011085933650026386,0.0003936290740966797
MMDl,laplacian,5.0,unif_law,10,0.05263465691964808,0.0003788471221923828
MMDq,gaussian,0.25,same,10,0.1918834506583027,0.0015530586242675781
MMDq,gaussian,0.25,mu+1,10,0.40676445808343914,0.0015232563018798828
MMDq,gaussian,0.25,std*2,10,0.2693917543936778,0.0015087127685546875
MMDq,gaussian,0.25,unif_law,10,-0.00227058770347055,0.0017251968383789062
MMDq,gaussian,0.5,same,10,0.14833910663447203,0.0015368461608886719
MMDq,gaussian,0.5,mu+1,10,0.41315760659979495,0.0015115737915039062
MMDq,gaussian,0.5,std*2,10,0.3263947623622999,0.001683950424194336
MMDq,gaussian,0.5,unif_law,10,0.012754302613790292,0.0015306472778320312
MMDq,gaussian,1.0,same,10,0.0980314237047204,0.0015048980712890625
MMDq,gaussian,1.0,mu+1,10,0.41033479626641045,0.0015158653259277344
MMDq,gaussian,1.0,std*2,10,0.3378380825769316,0.0016980171203613281
MMDq,gaussian,1.0,unif_law,10,0.035374537643901194,0.0014879703521728516
MMDq,gaussian,2.0,same,10,0.04757346227754744,0.001512765884399414
MMDq,gaussian,2.0,mu+1,10,0.37682861664080125,0.0017108917236328125
MMDq,gaussian,2.0,std*2,10,0.271746221593407,0.0015532970428466797
MMDq,gaussian,2.0,unif_law,10,0.0519490589113385,0.0015437602996826172
MMDq,gaussian,5.0,same,10,0.012450952112587288,0.0015227794647216797
MMDq,gaussian,5.0,mu+1,10,0.2544953504166363,0.0015728473663330078
MMDq,gaussian,5.0,std*2,10,0.1286858603237262,0.0016906261444091797
MMDq,gaussian,5.0,unif_law,10,0.044672289302548185,0.0015358924865722656
MMDq,laplacian,0.25,same,10,0.04500011684959948,0.0014743804931640625
MMDq,laplacian,0.25,mu+1,10,0.20987134417777664,0.0016279220581054688
MMDq,laplacian,0.25,std*2,10,0.12325786397697147,0.0014486312866210938
MMDq,laplacian,0.25,unif_law,10,0.024022697251548042,0.0014846324920654297
MMDq,laplacian,0.5,same,10,0.08325909673544674,0.0014667510986328125
MMDq,laplacian,0.5,mu+1,10,0.300241452862955,0.0014376640319824219
MMDq,laplacian,0.5,std*2,10,0.19604356948547175,0.001483917236328125
MMDq,laplacian,0.5,unif_law,10,0.02731687940034999,0.0014338493347167969
MMDq,laplacian,1.0,same,10,0.1363489930688757,0.0016279220581054688
MMDq,laplacian,1.0,mu+1,10,0.34492322095257266,0.0015099048614501953
MMDq,laplacian,1.0,std*2,10,0.24070473527619862,0.0014367103576660156
MMDq,laplacian,1.0,unif_law,10,0.017739161134457504,0.00146484375
MMDq,laplacian,2.0,same,10,0.1809916680820315,0.0016016960144042969
MMDq,laplacian,2.0,mu+1,10,0.31670766109096643,0.001438140869140625
MMDq,laplacian,2.0,std*2,10,0.21009560747299694,0.0014851093292236328
MMDq,laplacian,2.0,unif_law,10,0.0020748704028806797,0.0014488697052001953
MMDq,laplacian,5.0,same,10,0.18045894377780844,0.0014238357543945312
MMDq,laplacian,5.0,mu+1,10,0.21969620126695288,0.0014789104461669922
MMDq,laplacian,5.0,std*2,10,0.13149575231379199,0.0014348030090332031
MMDq,laplacian,5.0,unif_law,10,-0.005500336944888329,0.0016303062438964844
MMDl,gaussian,0.25,same,50,-0.09832514346471584,0.0004715919494628906
MMDl,gaussian,0.25,mu+1,50,0.29672313124961813,0.00047278404235839844
MMDl,gaussian,0.25,std*2,50,-0.005381386099294189,0.0004980564117431641
MMDl,gaussian,0.25,unif_law,50,0.09904962785782004,0.00047326087951660156
MMDl,gaussian,0.5,same,50,-0.1223448622754418,0.00046634674072265625
MMDl,gaussian,0.5,mu+1,50,0.2919934538049829,0.0005156993865966797
MMDl,gaussian,0.5,std*2,50,-0.04907890740580754,0.0005571842193603516
MMDl,gaussian,0.5,unif_law,50,0.06577783598167138,0.000457763671875
MMDl,gaussian,1.0,same,50,-0.11561039714526004,0.0005168914794921875
MMDl,gaussian,1.0,mu+1,50,0.25838689314736435,0.00048661231994628906
MMDl,gaussian,1.0,std*2,50,-0.09507623204266152,0.0005517005920410156
MMDl,gaussian,1.0,unif_law,50,0.04350128439378494,0.0005462169647216797
MMDl,gaussian,2.0,same,50,-0.08907277522184245,0.00047588348388671875
MMDl,gaussian,2.0,mu+1,50,0.20347703333542577,0.00048041343688964844
MMDl,gaussian,2.0,std*2,50,-0.10978592125972647,0.0005974769592285156
MMDl,gaussian,2.0,unif_law,50,0.03229035834963284,0.0004737377166748047
MMDl,gaussian,5.0,same,50,-0.04620794569640708,0.0005042552947998047
MMDl,gaussian,5.0,mu+1,50,0.12916243210894238,0.0005648136138916016
MMDl,gaussian,5.0,std*2,50,-0.08219524268187556,0.0004849433898925781
MMDl,gaussian,5.0,unif_law,50,0.028887194069193215,0.00046634674072265625
MMDl,laplacian,0.25,same,50,-0.04238210991448156,0.000530242919921875
MMDl,laplacian,0.25,mu+1,50,0.12423632895976013,0.0004248619079589844
MMDl,laplacian,0.25,std*2,50,-0.05333838581237131,0.0004096031188964844
MMDl,laplacian,0.25,unif_law,50,0.03399098376015686,0.0005674362182617188
MMDl,laplacian,0.5,same,50,-0.06450307580981367,0.0003826618194580078
MMDl,laplacian,0.5,mu+1,50,0.18327241612292397,0.00040841102600097656
MMDl,laplacian,0.5,std*2,50,-0.06525858448775843,0.00044727325439453125
MMDl,laplacian,0.5,unif_law,50,0.051248810267845356,0.00039768218994140625
MMDl,laplacian,1.0,same,50,-0.07549556757439255,0.0005550384521484375
MMDl,laplacian,1.0,mu+1,50,0.225458031411505,0.0004761219024658203
MMDl,laplacian,1.0,std*2,50,-0.05606040917942103,0.0004336833953857422
MMDl,laplacian,1.0,unif_law,50,0.07221437812185513,0.00040721893310546875
MMDl,laplacian,2.0,same,50,-0.05803806605653655,0.00040149688720703125
MMDl,laplacian,2.0,mu+1,50,0.2210511432176343,0.0004620552062988281
MMDl,laplacian,2.0,std*2,50,-0.03341124686198395,0.000408172607421875
MMDl,laplacian,2.0,unif_law,50,0.09401611402366765,0.0003917217254638672
MMDl,laplacian,5.0,same,50,-0.01804461365345892,0.0004119873046875
MMDl,laplacian,5.0,mu+1,50,0.1480047688320468,0.00043964385986328125
MMDl,laplacian,5.0,std*2,50,-0.03816541432323417,0.00040721893310546875
MMDl,laplacian,5.0,unif_law,50,0.09179718672844156,0.0004115104675292969
MMDq,gaussian,0.25,same,50,-0.003473192015594817,0.002529144287109375
MMDq,gaussian,0.25,mu+1,50,0.18860994598756747,0.002489328384399414
MMDq,gaussian,0.25,std*2,50,0.045415506778647974,0.002534627914428711
MMDq,gaussian,0.25,unif_law,50,0.04009691835028961,0.0026063919067382812
MMDq,gaussian,0.5,same,50,-0.004907391788328552,0.002849102020263672
MMDq,gaussian,0.5,mu+1,50,0.22723915282685914,0.0025708675384521484
MMDq,gaussian,0.5,std*2,50,0.04883037560258119,0.002556324005126953
MMDq,gaussian,0.5,unif_law,50,0.035629724100949,0.0026209354400634766
MMDq,gaussian,1.0,same,50,-0.0031146549981839744,0.0024895668029785156
MMDq,gaussian,1.0,mu+1,50,0.24548077927010048,0.002575397491455078
MMDq,gaussian,1.0,std*2,50,0.04389542030773219,0.0025377273559570312
MMDq,gaussian,1.0,unif_law,50,0.0259731776774188,0.003662586212158203
MMDq,gaussian,2.0,same,50,-0.0004063944520553697,0.0026521682739257812
MMDq,gaussian,2.0,mu+1,50,0.22914355445997825,0.003201723098754883
MMDq,gaussian,2.0,std*2,50,0.032028623641186194,0.003204345703125
MMDq,gaussian,2.0,unif_law,50,0.019160290036047023,0.0026030540466308594
MMDq,gaussian,5.0,same,50,0.000599305262511507,0.003016948699951172
MMDq,gaussian,5.0,mu+1,50,0.1615115818167734,0.0028808116912841797
MMDq,gaussian,5.0,std*2,50,0.014275259431941745,0.0030329227447509766
MMDq,gaussian,5.0,unif_law,50,0.013731000392576576,0.0032362937927246094
MMDq,laplacian,0.25,same,50,-0.00034416065209041946,0.0024662017822265625
MMDq,laplacian,0.25,mu+1,50,0.12210396181912508,0.0023086071014404297
MMDq,laplacian,0.25,std*2,50,0.015377352808088274,0.0026917457580566406
MMDq,laplacian,0.25,unif_law,50,0.013801627470453992,0.002286195755004883
MMDq,laplacian,0.5,same,50,-0.0008513514743873074,0.004803657531738281
MMDq,laplacian,0.5,mu+1,50,0.16622930042713668,0.0030050277709960938
MMDq,laplacian,0.5,std*2,50,0.02599536554015147,0.0033011436462402344
MMDq,laplacian,0.5,unif_law,50,0.02047164857755779,0.0043680667877197266
MMDq,laplacian,1.0,same,50,-0.0015187493832303778,0.0025339126586914062
MMDq,laplacian,1.0,mu+1,50,0.17443202831863192,0.003960132598876953
MMDq,laplacian,1.0,std*2,50,0.034145306037167256,0.004406929016113281
MMDq,laplacian,1.0,unif_law,50,0.026093299518390567,0.0023293495178222656
MMDq,laplacian,2.0,same,50,-0.0010645705900319546,0.002388477325439453
MMDq,laplacian,2.0,mu+1,50,0.13461877336874273,0.002370119094848633
MMDq,laplacian,2.0,std*2,50,0.03215460737317577,0.0023603439331054688
MMDq,laplacian,2.0,unif_law,50,0.02724759393968601,0.002317667007446289
MMDq,laplacian,5.0,same,50,0.002040592303693911,0.0028944015502929688
MMDq,laplacian,5.0,mu+1,50,0.0657852547456084,0.0026166439056396484
MMDq,laplacian,5.0,std*2,50,0.01889162454124302,0.0027399063110351562
MMDq,laplacian,5.0,unif_law,50,0.018343245210935083,0.003777027130126953
MMDl,gaussian,0.25,same,100,-0.04153483246017395,0.0005068778991699219
MMDl,gaussian,0.25,mu+1,100,0.22709883292856406,0.0005459785461425781
MMDl,gaussian,0.25,std*2,100,0.03681991272075095,0.000492095947265625
MMDl,gaussian,0.25,unif_law,100,-0.07646048260306959,0.0005087852478027344
