law_p,Kernel,parametre,kernel_mean,kernel_variance,v
normal_0_0,gaussian,0.25,0.33451691137254236,0.14101454378133946,0.21947817222984947
normal_0_0,gaussian,0.5,0.4445430979294282,0.12628821272586252,0.19269441308647664
normal_0_0,gaussian,1.0,0.5828405294186101,0.11351661925427531,0.1499977729886139
normal_0_0,gaussian,2.0,0.704856079470635,0.07282600443203778,0.08467959647809885
normal_0_0,gaussian,5.0,0.8465924574629234,0.02935930325036414,0.03238956107406341
normal_0_0,laplacian,0.25,0.7676948058142652,0.022056953067663962,0.027011251054404436
normal_0_0,laplacian,0.5,0.6189394038561462,0.05023004305471853,0.0653650429066844
normal_0_0,laplacian,1.0,0.4095711417225941,0.07037601175158854,0.11188848380183276
normal_0_0,laplacian,2.0,0.24301441375660834,0.06667584399528721,0.11498417817307022
normal_0_0,laplacian,5.0,0.10786114547832051,0.040066011614332986,0.07921921348407483
normal_0_10,gaussian,0.25,0.11421842523919719,0.06817615347404299,0.10887061239471715
normal_0_10,gaussian,0.5,0.15084576632555513,0.08561480623384965,0.15825042113704435
normal_0_10,gaussian,1.0,0.20341621803752682,0.1051565806265056,0.18538806440707611
normal_0_10,gaussian,2.0,0.29265070171576607,0.12424356388578163,0.20871662974602573
normal_0_10,gaussian,5.0,0.46091458061603874,0.1294647667991868,0.1772467915415665
normal_0_10,laplacian,0.25,0.49851105378246063,0.06171693045903362,0.08422094128420118
normal_0_10,laplacian,0.5,0.3000342666532227,0.07414366519947897,0.1258746403551595
normal_0_10,laplacian,1.0,0.1629146378829686,0.05594811436295782,0.10190411380070429
normal_0_10,laplacian,2.0,0.08727844057319703,0.03614024827923514,0.07213952833215045
normal_0_10,laplacian,5.0,0.03357264768502732,0.014939562985254392,0.03230151725874564
normal_3_0,gaussian,0.25,0.34123842961518736,0.13534102659846087,0.20503262467331532
normal_3_0,gaussian,0.5,0.4657164288744888,0.13616481509886907,0.2045391573638897
normal_3_0,gaussian,1.0,0.5855472061154675,0.10925382109231485,0.1470838305187757
normal_3_0,gaussian,2.0,0.7155572649804248,0.07626497178503673,0.07966226112012732
normal_3_0,gaussian,5.0,0.8358394884435459,0.03435657823792436,0.032734112999053294
normal_3_0,laplacian,0.25,0.7722475051099343,0.02253932641337581,0.029050648429431582
normal_3_0,laplacian,0.5,0.6181016330297361,0.048600870820769713,0.05823135283785213
normal_3_0,laplacian,1.0,0.4266707388344448,0.0739627273520685,0.10019953944506742
normal_3_0,laplacian,2.0,0.2549704210231974,0.0754614817825919,0.12152018967927859
normal_3_0,laplacian,5.0,0.10283362764017576,0.03816705854021692,0.0821124537381562
normal_3_10,gaussian,0.25,0.12052900269881746,0.0717860780748698,0.13724228729099283
normal_3_10,gaussian,0.5,0.16316044326688756,0.08843014533934763,0.1744963491086262
normal_3_10,gaussian,1.0,0.22521762985917143,0.11250925932151713,0.18533251053875535
normal_3_10,gaussian,2.0,0.307769864431713,0.1313317317830519,0.23026472750185262
normal_3_10,gaussian,5.0,0.45015045743227405,0.13303291308700524,0.20874765368036896
normal_3_10,laplacian,0.25,0.4805307965179829,0.06702327595667551,0.09515542505683645
normal_3_10,laplacian,0.5,0.3070322099985699,0.07384317749277851,0.1183534179923684
normal_3_10,laplacian,1.0,0.17513039813002793,0.06003446215182049,0.09530903269600606
normal_3_10,laplacian,2.0,0.0867556586930753,0.0367535536058987,0.07616552622778482
normal_3_10,laplacian,5.0,0.029936868009591174,0.014177698964854248,0.033434119573288776
