Kernel,Kernel_parameter,lambda,law_p,law_q,moyenne
gaussian,0.25,1,normal_0_1,normal_1_1,0.14030180437620424
gaussian,0.25,1,normal_0_1,normal_1_1,0.14368049469012162
gaussian,0.25,1,normal_0_1,normal_1_1,0.11776422194852092
gaussian,0.25,1,normal_0_1,normal_1_1,0.13788479275274546
gaussian,0.25,1,normal_0_1,normal_1_1,0.13627603579453404
gaussian,0.25,1,normal_0_1,normal_1_1,0.13896527300907063
gaussian,0.25,1,normal_0_1,normal_1_1,0.14491131379627945
gaussian,0.25,1,normal_0_1,normal_1_1,0.13266830601974017
gaussian,0.25,1,normal_0_1,normal_1_1,0.12922110865112546
gaussian,0.25,1,normal_0_1,normal_1_1,0.15941741434498352
gaussian,0.25,1,normal_0_1,normal_0_2,0.07983149203477706
gaussian,0.25,1,normal_0_1,normal_0_2,0.05267334515399255
gaussian,0.25,1,normal_0_1,normal_0_2,0.06947364011397646
gaussian,0.25,1,normal_0_1,normal_0_2,0.0775690266757273
gaussian,0.25,1,normal_0_1,normal_0_2,0.05868126879211955
gaussian,0.25,1,normal_0_1,normal_0_2,0.06592843203914021
gaussian,0.25,1,normal_0_1,normal_0_2,0.0729578638766976
gaussian,0.25,1,normal_0_1,normal_0_2,0.06928970856828566
gaussian,0.25,1,normal_0_1,normal_0_2,0.06512446375315079
gaussian,0.25,1,normal_0_1,normal_0_2,0.08916515832140215
gaussian,0.25,1,normal_0_1,unif_0_1,0.2939651077395065
gaussian,0.25,1,normal_0_1,unif_0_1,0.32584655015789105
gaussian,0.25,1,normal_0_1,unif_0_1,0.28133026085689666
gaussian,0.25,1,normal_0_1,unif_0_1,0.3454294853498706
gaussian,0.25,1,normal_0_1,unif_0_1,0.32217071782686235
gaussian,0.25,1,normal_0_1,unif_0_1,0.32264365861104344
gaussian,0.25,1,normal_0_1,unif_0_1,0.3090662349706684
gaussian,0.25,1,normal_0_1,unif_0_1,0.32263611317372126
gaussian,0.25,1,normal_0_1,unif_0_1,0.30242262326469993
gaussian,0.25,1,normal_0_1,unif_0_1,0.29103226709572666
gaussian,0.25,1,unif_-1_1,normal_1_1,0.23417937467017363
gaussian,0.25,1,unif_-1_1,normal_1_1,0.23636785579034744
gaussian,0.25,1,unif_-1_1,normal_1_1,0.21411073646257628
gaussian,0.25,1,unif_-1_1,normal_1_1,0.22371189154722895
gaussian,0.25,1,unif_-1_1,normal_1_1,0.2912970673849893
gaussian,0.25,1,unif_-1_1,normal_1_1,0.27580890707377104
gaussian,0.25,1,unif_-1_1,normal_1_1,0.2683429642257128
gaussian,0.25,1,unif_-1_1,normal_1_1,0.27939841247948416
