Kernel,Kernel_parameter,lambda,law_p,law_q,sigma_H0,sigma_H1,moyenne
gaussian,0.25,1,normal_0_1,normal_1_1,0.4278382848651086,0.542539078237374,0.134627009903277
gaussian,0.25,1,normal_0_1,normal_0_2,0.42908233942896595,0.4288727822417558,0.06896822791892532
gaussian,0.25,1,normal_0_1,unif_0_1,0.4397822237956552,0.5241197691914888,0.3073639975729662
gaussian,0.25,1,unif_-1_1,normal_1_1,0.466752450390361,0.575127440996843,0.2639397466153728
gaussian,0.25,1,unif_-1_1,normal_0_2,0.45356503627111044,0.5261092791575233,0.20469633210277494
gaussian,0.25,1,unif_-1_1,unif_0_1,0.4742239149171447,0.5182883305615499,0.2693786279924328
gaussian,0.25,0.8,normal_0_1,normal_1_1,0.4801913444735652,0.5594675015698783,0.13423747629697094
gaussian,0.25,0.8,normal_0_1,normal_0_2,0.46991125547161217,0.5055881566740077,0.08024851619480217
gaussian,0.25,0.8,normal_0_1,unif_0_1,0.4882683541781569,0.559232029256548,0.3059399990902416
gaussian,0.25,0.8,unif_-1_1,normal_1_1,0.4882163868797463,0.6444145006371024,0.2556022006220314
gaussian,0.25,0.8,unif_-1_1,normal_0_2,0.5248328017258467,0.5488291696052398,0.21214052015894988
gaussian,0.25,0.8,unif_-1_1,unif_0_1,0.4974150859531742,0.5786292459277753,0.2675128896935661
gaussian,0.25,0.5,normal_0_1,normal_1_1,0.5224867387777948,0.683956050194184,0.1446797379432877
gaussian,0.25,0.5,normal_0_1,normal_0_2,0.5360696057187341,0.5172740875168736,0.0710877898550403
gaussian,0.25,0.5,normal_0_1,unif_0_1,0.5163276351270372,0.5836905228811381,0.30914010833992084
gaussian,0.25,0.5,unif_-1_1,normal_1_1,0.5370008310268997,0.7607050790578407,0.2646906988393123
gaussian,0.25,0.5,unif_-1_1,normal_0_2,0.5780025921537694,0.6015479680685268,0.21790538927573375
gaussian,0.25,0.5,unif_-1_1,unif_0_1,0.5662725947281426,0.608867372610624,0.2640935374849287
gaussian,0.25,0.2,normal_0_1,normal_1_1,0.7990355851542795,0.9447886528504432,0.13774318728832946
gaussian,0.25,0.2,normal_0_1,normal_0_2,0.7955793453985582,0.7228926433999645,0.06638900701691855
gaussian,0.25,0.2,normal_0_1,unif_0_1,0.8309902472010611,0.6066136688603229,0.2985943014813356
gaussian,0.25,0.2,unif_-1_1,normal_1_1,0.7501012178567055,1.0263073505305211,0.25584292475080844
gaussian,0.25,0.2,unif_-1_1,normal_0_2,0.8221414143384073,0.920764547230833,0.20897317794850237
gaussian,0.25,0.2,unif_-1_1,unif_0_1,0.8761206441969595,0.7805359860040523,0.2604163685311462
gaussian,0.25,0.1,normal_0_1,normal_1_1,1.0238691137576945,1.2983807697363663,0.1285326217474056
gaussian,0.25,0.1,normal_0_1,normal_0_2,1.130413195898428,1.1018215362768404,0.06690731317903507
gaussian,0.25,0.1,normal_0_1,unif_0_1,1.0115417142375038,0.9205748928527465,0.31565437793102646
gaussian,0.25,0.1,unif_-1_1,normal_1_1,1.135891503919088,1.5590193335590754,0.2542155212926112
gaussian,0.25,0.1,unif_-1_1,normal_0_2,1.1797247738022183,1.3205227879249652,0.2143348217409816
gaussian,0.25,0.1,unif_-1_1,unif_0_1,1.0516790994373093,0.9292183780786512,0.2630299803199307
gaussian,0.25,0.05,normal_0_1,normal_1_1,1.4199682933710935,1.7084565285292137,0.13099730735082887
